IDH,IDC,Distancia,Tiempo
2,437,8089,6169
2,466,5743,4501
2,474,7638,5791
2,477,9034,6834
2,479,6088,4707
2,484,6429,5008
2,21,7045,5569
2,233,6587,5209
2,446,6417,5061
2,478,6417,5061
2,19,7618,6026
2,24,7384,5850
2,27,7440,5898
2,30,9999,7882
2,42,8204,6486
2,43,8601,6798
2,46,8030,6348
2,57,7639,6058
2,62,7941,6389
2,92,8030,6348
2,96,7530,5976
2,112,8030,6348
2,121,51061,42365
2,160,7333,5810
2,174,8030,6348
2,192,7377,5854
2,193,7298,5793
2,208,7984,6392
2,209,7593,6016
2,210,7568,5995
2,220,7598,6018
2,224,8506,6728
2,242,7362,5833
2,243,7360,5831
2,244,7407,5861
2,246,7423,5891
2,249,7423,5891
2,250,7605,6024
2,251,7425,5893
2,252,7423,5891
2,254,7371,5840
2,255,7430,5897
2,256,7423,5891
2,257,7342,5828
2,262,7611,6021
2,264,7426,5893
2,271,7479,5928
2,277,7207,5719
2,281,8030,6348
2,291,10366,8188
2,306,7517,5956
2,310,9526,7526
2,317,11109,8850
2,347,7422,5890
2,358,7461,5922
2,364,8030,6348
2,391,7379,5854
2,393,10261,8111
2,400,8224,6495
2,412,8030,6348
2,422,7365,5835
2,444,7894,6231
2,452,7423,5891
2,464,7598,6016
2,467,7358,5838
2,471,7554,5980
2,472,7779,6134
2,481,12874,10269
2,485,7423,5891
2,498,7584,6007
2,125,12452,9991
2,239,13495,10818
2,270,12702,10194
2,290,10350,8195
2,380,5455,4328
2,98,9721,7692
2,113,8425,6689
2,50,9753,7750
2,51,10828,8742
2,54,10187,8228
2,78,8417,6681
2,81,8402,6670
2,127,9828,7881
2,131,11403,9117
2,191,10807,8581
2,196,10187,8228
2,237,10187,8228
2,238,10991,8898
2,318,9681,7690
2,361,10044,8106
2,468,10828,8742
2,5,9062,7148
2,15,9845,7896
2,16,8263,6655
2,18,8790,7075
2,44,8233,6542
2,69,9378,7468
2,70,8338,6712
2,83,8338,6712
2,94,9520,7641
2,99,8820,7026
2,110,8770,7061
2,124,7379,5925
2,136,8515,6815
2,139,10701,8531
2,149,9635,7628
2,159,7844,6204
2,163,8130,6443
2,165,8279,6610
2,169,8890,7146
2,176,8338,6712
2,177,8937,7131
2,185,8130,6490
2,203,8811,7023
2,207,8807,7018
2,215,9122,7265
2,223,9492,7624
2,278,9071,7153
2,286,7462,5992
2,292,7838,6250
2,308,9248,7295
2,322,8338,6712
2,329,8406,6721
2,337,8809,7009
2,356,9047,7202
2,359,8338,6712
2,370,7916,6318
2,374,9262,7372
2,382,7826,6249
2,408,7885,6240
2,410,8309,6616
2,411,8305,6613
2,445,7570,6079
2,449,8338,6712
2,450,8022,6342
2,458,8597,6861
2,461,8789,7009
2,462,8647,6914
2,475,8338,6712
2,490,9105,7185
2,491,8864,7014
2,492,9377,7539
2,497,8315,6640
2,181,20154,15491
2,272,20208,15548
2,141,12749,10401
2,344,17202,13830
2,438,14896,11929
2,183,8672,6860
2,494,9496,7504
2,495,9512,7515
2,7,2058,1592
2,12,1514,1245
2,22,2428,1983
2,26,1038,774
2,31,2766,2283
2,34,2689,2158
2,45,2099,1681
2,93,1567,1286
2,115,1492,1229
2,168,1577,1297
2,206,2946,2211
2,219,1573,1294
2,221,2526,2047
2,241,1697,1396
2,275,1502,1237
2,283,4131,3213
2,309,1607,1319
2,326,1514,1245
2,373,1514,1245
2,409,1811,1425
2,414,2354,1790
2,431,2590,2099
2,443,2233,1714
2,453,1441,1201
2,463,1851,1509
2,74,6512,5237
2,383,6494,5219
2,417,7043,5610
2,499,6492,5218
2,23,6038,4822
2,79,6070,4839
2,162,7021,5548
2,175,7648,6000
2,204,7698,6035
2,338,6449,5118
2,390,6038,4822
2,170,6366,5045
2,213,6297,4992
2,76,4148,3326
2,108,5063,4076
2,128,5102,4137
2,148,2098,1618
2,164,4078,3251
2,234,4095,3287
2,235,4160,3334
2,245,5139,4101
2,258,5134,4097
2,287,4261,3407
2,294,4906,3972
2,302,4906,3972
2,381,4702,3794
2,415,4906,3972
2,428,4423,3613
2,487,4418,3513
2,488,4906,3972
2,500,4592,3665
2,6,2826,2336
2,10,2837,2297
2,28,4118,3366
2,37,4269,3426
2,63,3781,3043
2,71,2834,2342
2,72,3930,3196
2,73,2736,2229
